id,parentId,priority,title
4001,40,1,"Випробування, події, операції над подіями"
4002,40,2,Частість наставання подій
4003,40,3,Алгебри та алгебри множин
4004,40,4,Імовірнісні міри
4005,40,5,Приклади побудови імовірнісних просторів
4006,40,6,Умовні ймовірності
4007,40,7,Формула додавання ймовірностей
4008,40,8,Формула повної ймовірності
4009,40,9,Формула Байєса
4010,40,10,Композиція незалежних випробувань
4011,40,11,Елементарні факти з теорії інформації
4012,40,12,Біноміальний розподіл
4013,40,13,Одновимірні випадкові величини
4014,40,14,Дискретні випадкові величини
4015,40,15,Твірна функція
4016,40,16,Розподіл Пуассона
4017,40,17,Неперервні випадкові величини
4018,40,18,Розподіли випадкової величини
4019,40,19,Експоненційний закон розподілу
4020,40,20,Нормальний розподіл
4021,40,21,Нерівність Чебишева
4022,40,22,Багатовимірні випадкові величини
4023,40,23,Двовимірні дискретні випадкові величини
4024,40,24,Двовимірні неперервні випадкові величини
4025,40,25,Багатовимірні дискретні випадкові величини
4026,40,26,Математичне сподівання неперервної скалярної функції n-випадкових аргументів
4027,40,27,Коефіцієнт коваріації та кореляції
4028,40,28,Розподіл суми незалежних випадкових величин
4029,40,29,Багатовимірний нормальний розподіл
4030,40,30,Збіжність послідовності випадкових величин
4031,40,31,Теорема Бернуллі
4032,40,32,Закон великих чисел
4033,40,33,Центральна гранична теорема
4034,40,34,Посилений закон великих чисел
4035,40,35,Комплексні випадкові величини
4036,40,36,Емпірична функція розподілу
4037,40,37,Метод найбільшої правдоподібності
4038,40,38,Побудова інтервальних оцінок для нормального розподілу
4039,40,39,Статистична перевірка гіпотез
4040,40,40,Критерій знаків
4041,40,41,Критерій  x^2
4042,40,42,Критерій
4043,40,43,Дисперсійний аналіз
4101,41,1,Кінематика
4102,41,2,Основи динаміки
4103,41,3,Робота та енергія
4104,41,4,Елементи механіки твердого тіла
4105,41,5,Основи спеціальної теорії відносності
4106,41,6,Електричне поле зарядів у вакуумі
4107,41,7,Електричне поле в речовині
4108,41,8,Постійний електричний струм
4109,41,9,Магнітне поле
4110,41,10,Електричні коливання
4111,41,11,Хвильові процеси
4112,41,12,Елементи оптики
4113,41,13,Квантова фізика
4201,42,1,"Філософія, коло її проблем та роль у суспільстві"
4202,42,2,Філософія Стародавнього світу
4203,42,3,Антична філософія
4204,42,4,Філософія Середньовіччя та доби Відродження
4205,42,5,Філософія доби Нового часу
4206,42,6,Німецька класична філософія
4207,42,7,Некласична європейська філософія
4208,42,8,Філософська думка в Україні
4209,42,9,Буття як філософська проблема
4210,42,10,Людина як мета та вища цінність історичного розвитку
4211,42,11,Духовні виміри буття та проблема свідомості в філософії
4212,42,12,Основний зміст пізнавальної діяльності.
4213,42,13,Зміст та форми філософського вчення про розвиток.
4214,42,14,Філософське розуміння суспільства та його будови
4215,42,15,Суспільство та природа
4216,42,16,"Джерела, спрямованість та рушійні сили історичного розвитку"
4217,42,17,Філософія техніки
4301,43,1,Визначення даних. Властивості даних.
4302,43,2,Архітектура систем. Управління базами даних.
4303,43,3,Життєвий цикл розробки інформаційного та програмного забезпечення.
4304,43,4,"Методи та засоби збору інформації про прикладну область. Вимоги зацікавлених осіб, бачення системи."
4305,43,5,Мова UML як засіб концептуального моделювання предметної області.
4306,43,6,"Варіанти використання системи, розробка сценаріїв варіантів використання."
4307,43,7,"Виявлення бізнес-сутностей, словник предметної області, ідентифікація семантичних зв’язків."
4308,43,8,Однозначність концептуальної моделі. Перетворення концептуальної моделі з метою усунення неоднозначності. Шаблонне проектування концептуальної моделі.
4309,43,9,"Інфологічна модель «сутність-зв’язок», перехід від концептуальної моделі до моделі «сутність-зв’язок»."
4401,44,1,"Предмет, завдання та структура екології"
4402,44,2,"Основні визначення, поняття і закони екології"
4403,44,3,Екологічні системи
4404,44,4,Популяційна екологія
4405,44,5,Глобальні екологічні проблеми біосфери Землі
4406,44,6,"Джерела, масштаби і наслідки забруднення атмосфери"
4407,44,7,Вплив людської діяльності на екологічний стан гідросфери
4408,44,8,Структура літосфера та її деградація
4409,44,9,Екологічний моніторинг
4410,44,10,"Природні ресурси, їх використання і охорона"
4411,44,11,Охорона повітряного середовища
4412,44,12,Раціональне використання та охорона водних ресурсів
4413,44,13,Охорона ґрунтів та земних надр
4414,44,14,Утилізація та переробка твердих відходів
4415,44,15,Екологічна експертиза та екологічний аудит
4501,45,1,Основи описової статистики.
4502,45,2,"Способи групування даних, методи візуалізації даних."
4503,45,3,"Вибіркові розподіли , вибіркові моменти."
4504,45,4,Концепція методу найменших квадратів.
4505,45,5,"Регресійний аналіз, мультирегресія, прогнозування."
4506,45,6,Перевірка гіпотез
4507,45,7,Задачі класифікації і методи їх розв`язку.
4508,45,8,Дисперсійний аналіз.
4509,45,9,Планування експериментів. Вибір плану.
4510,45,10,Статистичний аналіз експериментальних даних з різних джерел
4511,45,11,Застосування статистики для аналізу якості і надійності системи.
4601,46,1,Computers today
4602,46,2,Input/Output devices
4603,46,3,Storage Devices
4604,46,4,Basic Software
4605,46,5,Faces of Internet
4606,46,6,Creative Software
4607,46,7,Programming / jobs in ICT
4608,46,8,Computers tomorrow
4701,47,1,Мета курсу „Комп’ютерна схемотехніка”
4702,47,2,"Інтегральні схеми (ІС). Призначення, класифікація, характеристики,, умовні графічні позначення."
4703,47,3,"Комбінаційні схеми. Тригери. Регістри Лічильники. Класифікація, побудова, застосування, приклади ІС лічильників."
4704,47,4,Суматори. Дешифратори. Комутатори.Шифратори. Зсувачі. Компаратори.
4705,47,5,"Логічні ІС, що програмуються за потребами користувача. Класифікація, побудова, застосування, приклади ІС."
4706,47,6,Структури адресних та асоціативних ЗП . Побудова блоків ЗП та їх оптимізація. Приклади ІС ЗП та їх застосування.
4707,47,7,ЗП на динамічних напівпровідникових елементах. Регенерація та інші особливості таких ЗП.
4708,47,8,Віртуальна пам’ять комп’ютера.
4709,47,9,Оперативна пам’ять комп’ютера. Основні типи модулів та принципи їх побудови.
4710,47,10,"Блоки додавання (БД). БД, що працюють в прямому та додатковому коді. БД, що працюють з числами з фіксованою або плинною комою."
4711,47,11,"Блоки множення (БМ), які працюють з числами в прямих та додаткових кодах. Прискорення множення. Однотактні БМ. Приклади ІС БМ, їх каскадування."
4712,47,12,Схеми для ділення чисел. Логічні та апаратні методи прискорення ділення. Порівняльна оцінка схем для ділення з врахуванням їхскладності та швидкодії. Схеми для видобутку квадратного кореня. Схеми для перетворення чисел із однієї системи числення в іншу. Генератори випадкових чисел. Табличні способи виконання операцій.
4713,47,13,Структура АП. АП блочного типу. АП універсального типу. АП з безпосередніми зв’язками. АП з плаваючою крапкою. АП типових мікропроцесорів. Арифметичні сопроцесори (АС). Принципи побудови та застосування. Приклади ІС АС.
4714,47,14,Призначення та функції пристрою управління. Способи побудови блоків управління командами.Способ і формування виконавчих адрес. Управління груповими операціями. Ефективність та доцільність введення групових операцій. Структурна схема найпростішого обчислювача та часові діаграми його роботи.
4715,47,15,Схемне керування операціями. Способи побудови блоків управління операціями (БУО) та блоків місцевого управління. Синхронне та асинхронне управління операціями.
4716,47,16,"Мікропрограмне керування операціями. Схемна, мікропрограмна та змішана реалізація мікроалгоритмів. Різновиди мікропрограмних БУО. Аналіз складності та швидкодії. Вибір типу БУО при проектуванні ПУ."
4717,47,17,"Еволюція структур сучасних мікропроцесорів, контролерів та обчислювачів. Особливості реалізації сучасних однокристальних обчислювачів типу Pentium, Pentium MMX."
4718,47,18,Особливості реалізації однокристальних 64-розрядних обчислювачів сімейства ІА-64.Структура комп’ютерів на основі обчислювачів типу Pentium. Чіпсети та материнські плати сучасних комп’ютерів.
4719,47,19,"Схемотехніка шини зв’язку сучасних комп’ютерів. Локальна шина РСІ. Призначення, структура ліній зв’язку та їх схемотехніка, протокол зв’язку. Шина USB. Призначення, структура ліній зв’язку та їх схемотехніка, протокол зв’язку,основні параметри, інформаційні потоки, напрямки розвитку."
